Geohash,Amenity,Bump,Crossing,Entrance,Give_Way,Junction,Noexit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Circle,Turning_Loop
9q5f0,3,6,8,2,0,0,0,0,1,0,16,6,13,75,0
9q5f1,35,7,0,1,0,0,3,0,0,4,2,7,8,77,0
9q5f2,101,53,33,0,0,20,29,0,0,10,16,53,101,54,0
9q5f3,77,23,21,1,0,10,12,0,0,4,9,23,80,99,0
9q5f4,66,4,12,3,0,7,1,5,1,7,17,4,59,81,0
9q5f5,95,2,168,14,0,11,10,6,0,16,18,2,115,60,0
9q5f6,144,2,18,0,0,16,2,4,0,5,13,2,70,31,0
9q5f7,236,41,21,2,0,17,3,22,0,19,65,41,122,30,0
9q5f8,65,49,19,1,0,8,32,42,1,10,11,49,100,76,0
9q5f9,26,31,6,0,0,15,27,22,0,6,4,31,28,159,0
9v6mz,1,0,5,0,0,0,0,5,0,0,0,0,9,164,0
9v6my,3,0,0,0,0,2,0,0,0,0,0,0,8,68,0
dnnwb,19,1,0,0,0,0,7,0,0,0,1,1,11,53,0
9v6mx,7,0,0,0,1,0,0,0,1,0,3,0,26,200,0
dnnwf,4,0,0,0,0,0,0,0,0,0,0,0,4,88,0
9v6mw,31,0,8,0,0,4,0,6,0,0,2,0,71,106,0
9v6mv,29,0,15,0,1,2,2,12,0,0,0,0,22,221,0
9v6mu,5,0,1,0,0,0,1,0,0,0,0,0,2,92,0
9v6mt,45,0,10,1,0,0,2,10,0,0,0,0,52,199,0
9vk3b,10,0,6,0,0,0,0,6,0,0,0,0,4,42,0
djgzg,1,0,19,0,0,2,0,13,2,0,3,0,22,69,0
djgz7,6,0,0,0,0,0,0,0,0,0,1,0,4,68,0
9vk46,15,0,36,0,1,7,1,12,0,0,18,0,83,85,0
9vk41,20,0,0,0,0,4,3,0,0,0,0,0,49,146,0
dnh04,66,1,15,0,0,0,1,5,0,30,23,1,28,16,0
9vk40,51,0,14,0,0,5,3,14,0,0,5,0,70,110,0
9vk43,38,17,20,4,9,6,5,2,0,0,15,17,62,171,0
9vk3g,3,0,32,0,0,4,0,32,0,0,0,0,5,7,0
9q5fb,47,29,45,31,0,25,33,0,0,12,33,29,62,154,0
dnq9h,12,0,0,2,0,0,0,0,0,0,0,0,0,47,0
dnq9k,15,0,44,0,0,1,0,0,0,0,0,1,27,67,0
dnq9j,22,10,24,0,0,0,0,4,0,0,0,10,2,47,0
9v6t2,10,0,7,0,2,11,0,7,0,0,47,0,33,39,0
djgze,11,0,4,0,0,0,0,0,0,0,0,1,10,69,0
dnnxv,3,0,0,0,0,2,0,0,0,0,0,0,1,98,0
9vk3m,15,0,26,3,0,7,0,44,0,0,0,0,8,6,0
dhwgx,44,0,44,4,0,10,32,5,5,205,1,0,111,9,0
9q5eq,4,0,0,0,0,1,0,0,0,0,7,0,1,11,0
9q5ep,11,31,6,0,0,11,7,12,0,0,4,34,18,138,0
9q5er,0,0,0,0,0,14,2,3,0,0,1,0,4,6,0
9q5eh,0,14,0,0,0,1,0,0,0,0,0,14,0,15,0
9q5ej,14,1,2,0,0,0,4,0,0,0,2,1,13,77,0
9q5en,6,10,0,0,0,0,0,0,0,0,1,10,2,127,0
9v6qj,2,0,5,0,2,0,2,6,0,8,0,0,13,23,0
9v6qn,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0
9vk30,33,0,145,0,0,14,0,168,0,0,0,0,10,19,0
9vk31,3,0,81,0,3,6,0,137,0,0,0,0,14,2,0
9vk4g,12,0,0,0,0,0,0,0,0,0,0,0,24,180,0
9vk33,18,0,76,0,0,5,0,76,0,0,0,0,50,18,0
9vk34,1,0,157,0,0,6,1,271,0,0,0,0,14,1,0
9vk35,0,0,184,0,0,4,1,271,0,0,0,0,10,3,0
9vk36,19,0,48,0,0,13,0,76,0,0,0,0,22,30,0
9vk4b,7,0,4,0,0,6,2,4,0,0,0,0,47,215,0
9vk4m,18,0,8,0,0,14,2,8,0,0,1,0,44,43,0
9vk39,19,0,8,0,0,0,0,8,0,0,0,0,17,39,0
9vk4n,9,0,13,0,0,1,0,0,0,0,0,0,10,20,0
9vk4h,36,0,63,0,10,6,3,0,0,0,17,0,75,71,0
9vk4k,32,0,2,2,3,17,3,0,0,0,1,0,61,52,0
9vk4j,27,0,1,0,0,2,14,1,0,0,1,0,11,23,0
9vk4u,38,1,12,0,4,5,3,4,0,0,13,1,32,72,0
9vk4t,1,0,31,0,0,2,0,14,0,0,0,0,23,60,0
9vk4w,114,0,0,0,0,0,0,3,0,3,0,0,2,2,0
9vk4v,8,0,6,0,0,1,0,5,0,0,0,0,31,118,0
9vk4q,34,0,20,1,5,6,0,0,0,0,1,0,25,6,0
9vk4p,13,0,4,0,7,7,7,4,0,0,2,0,25,22,0
9vk4s,11,0,0,0,0,6,2,0,0,0,7,0,29,105,0
9vk4r,13,0,16,0,2,14,0,4,0,0,0,0,36,33,0
9vk4y,4,0,7,0,0,0,2,0,0,0,0,0,17,94,0
9vk4x,24,2,41,0,0,4,7,1,0,0,0,2,27,71,0
